snapshot,ES00,ITN1,ITCN,ITCS,ITS1,ITCA,ITSI,ITSA
2013-06-14 13:00:00,41691.47283008575,29184.47320739746,7253.053657073974,9730.225780105591,4234.13014717102,1787.3063604736328,3768.302774200439,1873.578003349304
2013-06-14 14:00:00,41493.712539215085,29171.864559364316,7249.920098114013,9726.021997833252,4232.300863304138,1786.5341772079466,3766.674715270996,1872.7685688400268
2013-06-14 15:00:00,41464.1769682312,28514.221784667967,7086.479820404053,9506.761107826233,4136.889021339416,1746.2590315628051,3681.7597982025145,1830.5493657684326
2013-06-14 16:00:00,40827.234477844235,27488.272623710633,6831.506404953003,9164.705380973815,3988.0426431655883,1683.4281726455688,3549.2891289138793,1764.6857258987427
2013-06-14 17:00:00,40013.07852142334,27042.3230380249,6720.677082901001,9016.023949661254,3923.3436138153074,1656.1174831008911,3491.708116950989,1736.0567657089232
2013-06-14 18:00:00,39180.94399921417,26397.952631607055,6560.535280914306,8801.18808200836,3829.8572789001464,1616.6551429367064,3408.506877479553,1694.6896158599852
2013-06-14 19:00:00,38427.14331428528,26450.378294181824,6573.564317207336,8818.667071800231,3837.4632745361328,1619.8657526779175,3415.276069526672,1698.055220069885
2013-06-14 20:00:00,38235.803751297,24854.383505592345,6176.920680198669,8286.55566066742,3605.9137781524655,1522.1243585968016,3209.201046257019,1595.595930404663
2013-06-14 21:00:00,35641.80464530945,23034.08678966522,5724.532528572082,7679.661108894348,3341.8222254180905,1410.6463151168823,2974.1641191482545,1478.7369533157348
2013-06-14 22:00:00,33470.29358348846,21621.249774360655,5373.408115386963,7208.615371437072,3136.8455971527096,1324.1217992019654,2791.7384286117554,1388.0359941101074
2013-06-14 23:00:00,31333.45469100952,20414.797249565123,5073.575183296203,6806.379001464844,2961.8115044403075,1250.2366212081909,2635.96112197876,1310.5843983078003
2013-06-15 00:00:00,29598.55735897064,19670.220887527466,4888.52980632782,6558.134125747681,2853.7871619033813,1204.6374973297118,2539.821330718994,1262.7842707061768
2013-06-15 01:00:00,28682.952531547544,19188.436157302855,4768.794537620544,6397.505087928772,2783.8890608596803,1175.1322048950194,2477.6132287216187,1231.854762802124
2013-06-15 02:00:00,28092.2398979187,18715.27845592499,4651.203297195434,6239.752301597595,2715.2425935745237,1146.15521194458,2416.5190322113035,1201.4790774536132
2013-06-15 03:00:00,27721.118318901063,17968.047614212035,4465.498223075867,5990.622405357361,2606.8331576538085,1100.393549041748,2320.0365054321287,1153.508535194397
2013-06-15 04:00:00,27473.275762634275,18491.640128440857,4595.6237093734735,6165.190391006469,2682.7967704391476,1132.4592349243164,2387.6428172683713,1187.12201877594
2013-06-15 05:00:00,27813.5776411438,20784.430925827026,5165.438184661865,6929.616428833007,3015.438557243347,1272.873598976135,2683.688251991272,1334.314052467346
2013-06-15 06:00:00,30509.025166664123,23198.66338581085,5765.433852272034,7734.531658973693,3365.699249229431,1420.7252595901489,2995.4142430496213,1489.3024012374876
2013-06-15 07:00:00,34099.530915489195,24899.509339027405,6188.13556186676,8301.600788841248,3612.460726852417,1524.8879534149169,3215.027710609436,1598.4928993225096
2013-06-15 08:00:00,36821.94592350006,25057.449766082762,6227.3876276397705,8354.258847808838,3635.3749871063233,1534.5604650497437,3235.4209957122803,1608.6323306655884
