bus,x,y
bus421,13.070902254532353,46.649119918277805
bus422,13.532676614245794,46.58679901316943
bus423,13.833534944227932,46.595126734127454
bus424,13.81714672500153,46.557597462560416
bus425,13.69440340623382,46.56144495622705
bus426,13.876788384554454,46.6171228196768
bus427,13.85963041378804,46.59510560240971
bus428,13.789725270702421,46.65172434818937
bus429,13.592978353241563,46.73979288183822
bus430,13.519446439064918,46.78982824957177
bus431,13.359581087295954,46.83316646561751
bus432,13.250360736962262,46.753735849078524
bus433,13.343318513566192,46.89538881099277
bus434,14.027042624304942,46.56771945962559
bus435,13.989513236777228,46.581478911861275
bus436,14.603347676679643,46.697720508804416
bus437,14.080472001520944,46.65040668600433
bus438,12.97427031351436,46.85997385476261
bus439,13.060318280775979,46.897838747449946
bus440,12.967306775546236,46.74233769449416
bus441,13.509558531655353,46.78083637269355
bus442,13.496745764526194,46.8176415074385
bus443,13.492880974333948,46.81674594718307
bus444,13.081018902550499,48.256042322931336
bus445,13.081018902550499,48.256042322931336
bus446,13.081018902550499,48.256042322931336
bus447,13.009170021602529,48.2435018216593
bus448,13.03600782083509,48.22099599993313
bus449,13.395437046590873,48.34998342723772
bus450,13.4499195949101,48.44788385773176
bus451,13.442941845695533,48.434691601580745
bus452,13.751608379033762,48.489955711898936
bus453,13.993909559643424,48.556289249829966
bus454,13.986703337214529,48.4337440279035
bus455,14.019627950346523,48.385192352320665
bus456,14.15112682262743,48.315030493721196
bus457,14.007460439671645,48.30282660514986
bus458,14.269373462822706,48.24739353908628
bus459,14.269373462822706,48.24739353908628
bus460,14.226257410239667,48.268903968427175
bus461,13.13405157971813,48.12029894672759
bus462,13.231856462719902,47.98781149746245
bus463,12.991626762332777,48.096430753003084
bus464,12.842266543624463,48.02914006038296
bus465,13.10364694466233,48.098952045804886
bus466,13.10364694466233,48.098952045804886
bus467,13.27178516734834,48.19736984603376
bus468,13.51500982883612,48.21064667252779
bus469,13.81881163021708,48.236256850650555
bus470,13.588290035633777,48.01074140135988
bus471,13.38547773588154,47.97840957833737
bus472,13.455781394345612,47.80460582393564
bus473,13.506408135764291,47.72246753786342
bus474,13.596600169822802,47.71728411317825
bus475,13.632798862696012,47.60780185114025
bus476,13.739233045547971,47.78417496007157
bus477,13.785630084108867,47.923435019724415
bus478,13.797528540358648,47.97037091517087
bus479,13.619933357120342,47.98343227227577
bus480,13.658856522414151,47.9917758304736
bus481,13.802167704300821,48.01790013348393
bus482,13.715924400169095,47.98682676824371
bus483,13.813669839958605,47.9814286440179
bus484,13.800193820497721,47.99712906800064
bus485,13.906050625102894,48.00459043525983
bus486,13.899895994028569,48.10347491891516
bus487,13.89976474091849,48.10431488777262
bus488,14.052108379863332,48.08325150069962
bus489,14.163335147637289,47.82136996165244
bus490,14.163335147637289,47.82136996165244
bus491,14.330043918902959,47.6782941088341
bus492,14.11344890797386,47.90774494798688
bus493,14.123505158821061,48.03986885856499
bus494,14.004970209665247,48.18400107228333
bus495,14.006813363710362,48.15205608478994
bus496,14.00820773014356,48.16895786511966
bus497,14.099612275422325,48.173120589443485
bus498,14.075812678482697,48.170078407583645
bus499,14.059601073562078,48.16518987199318
bus500,14.223899329720737,48.20474985607509
bus501,14.252483741772451,48.1843452834316
bus502,14.243899545403384,48.21855579765409
bus503,14.320147100778346,48.249894038664955
bus504,14.299150864342046,48.242228721321815
bus505,14.34218293958629,48.26690177022788
bus506,14.34218293958629,48.26690177022788
bus507,14.376484276992477,48.25657016086998
bus508,14.376484276992477,48.25657016086998
bus509,14.322632426178272,48.30064187319091
bus510,14.30100953508889,48.32477177100102
bus511,14.428164082850857,48.247186127546705
bus512,14.494921931842429,48.23511328253172
bus513,14.531889460308175,48.22440089876983
bus514,14.420107276017081,48.21214250672935
bus515,14.695095895815248,48.16417041138262
bus516,14.695095895815248,48.16417041138262
bus517,14.76030609160567,48.205573066629015
bus518,14.538949796816722,48.24076455136572
bus519,14.49993824241171,48.35969457348522
bus520,14.496986401934143,48.496553743318856
bus521,14.468542085695471,48.09876829401559
bus522,14.469250133692697,48.11649868220835
bus523,14.469250133692697,48.11649868220835
bus524,14.469250133692697,48.11649868220835
bus525,14.422945645110177,48.068406141444875
bus526,14.454169040965313,48.04708410800354
bus527,14.207049103307963,48.048980695957
bus528,14.43898394276708,48.04303666084133
bus529,14.377979951846347,47.993771386630826
bus530,14.353059593535107,47.942091378052396
bus531,14.433853222812322,47.92322370149678
bus532,14.517670050022884,47.89217472959554
bus533,14.63865625732391,47.84849835713923
bus534,14.650064527662694,47.775402927272715
bus535,13.589857188008224,47.70716343929211
bus536,14.53546861694779,48.23255865148558
bus537,14.631431997373868,47.84710158056227
bus538,14.651479040924935,47.774717865073626
bus539,14.651494039663298,47.774707619780024
bus540,12.230250957465856,47.24392184118588
bus541,12.471860917050648,47.27838841197727
bus542,12.583404267396341,47.27846471522966
bus543,12.583404267396341,47.27846471522966
bus544,12.592517604724774,47.37349321636094
bus545,12.742334434954163,47.25854970243491
bus546,12.742334434954163,47.25854970243491
bus547,12.73934501696903,47.27781898593692
bus548,12.73934501696903,47.27781898593692
bus549,12.721766790328079,47.200159845069926
bus550,12.811942949968888,47.285492782366155
bus551,12.816874139503144,47.34792425749508
bus552,12.818345324135525,47.490891431212056
bus553,13.138833937846188,47.31540999957583
bus554,13.062465784397219,47.06639415051308
bus555,13.114620208147265,47.08655061723576
bus556,13.106598554456362,47.15102168974585
bus557,13.210728241487203,47.37992964895277
bus558,13.210728241487203,47.37992964895277
bus559,13.210728241487203,47.37992964895277
bus560,12.878158686129181,47.4218240420092
bus561,13.384852638445185,47.36465637273193
bus562,13.621527956165348,47.09426977844714
bus563,13.180099161226154,47.59120006676532
bus564,13.082740250239826,47.706507087041516
bus565,13.060098674793025,47.71471779079758
bus566,13.036161131052598,47.7509851247215
bus567,13.027840238199907,47.8332623754553
bus568,12.993624508016579,47.82876700997056
bus569,13.029813956045672,47.830860789782896
bus570,13.066808147827587,47.888108995042735
bus571,13.066808147827587,47.888108995042735
bus572,13.066808147827587,47.888108995042735
bus573,13.119123653338729,47.89090446722535
bus574,12.954875251396752,47.9533178581599
bus575,13.006432673505914,47.87406643108496
bus576,10.179468189460788,47.13800950482162
bus577,9.810785914764287,47.142771245896384
bus578,9.810785914764287,47.142771245896384
