Bus,x,y
way/104239342-220,8.050723922812562,45.19874490758433
way/104239352-380,8.193034660107958,45.23872543419609
way/104321356-220,16.54496467665937,40.41713625027364
way/104359058-380,7.391595161943041,44.22849646213833
way/1047447425-220,10.506485867578098,46.85873678447913
way/105062415-220,7.571158920045154,45.09807451111375
way/105141307-220,7.623048770151266,45.02858789309629
way/105141350-220,7.583108750207026,45.043283480191256
way/105141365-220,7.935630633718297,45.23192542730615
way/105141365-380,7.935870285070519,45.23176451437457
way/105141365-400,7.935947335412417,45.23199226090696
way/105153431-220,7.725279766764836,45.2065074941325
way/105153431-380,7.725541408413269,45.20670440475536
way/1051991398-220,7.673602547974175,44.99275449922136
way/105462289-220,8.42415494155227,46.37951114316963
way/105757794-220,9.884120967799058,44.1068896718317
way/105757794-380,9.884384950205437,44.10708130358727
way/105757795-220,8.177414141075822,44.07482518663451
way/105801489-220,11.396772415372256,46.49408589687052
way/105827045-220,11.356422006990709,46.51317235797532
way/105894370-400,15.514489614499263,45.94075832059594
way/1063258951-220,15.053325130998928,46.37184416819778
way/1063258951-400,15.053618037255632,46.37202172651672
way/107204719-220,9.409989748738443,45.329291943684616
way/107438024-380,9.493825574191732,45.08654411127404
way/107681459-380,10.487182637759611,43.55111112861163
way/107683818-380,10.698226011119706,43.83890309846502
way/108020416-220,16.027495160815164,39.9896406397286
way/108020416-380,16.027759598542385,39.98981680018001
way/108050523-220,12.597450214299087,41.951455001218456
way/1086214433-220,8.323133725839755,46.592025463687065
way/1092884227-220,8.52874720137093,46.41051401242827
way/109588422-380,16.60657818888307,39.61892849742003
way/109756016-380,17.036543998824467,39.10297304758004
way/1097982502-380,14.75400584442429,37.21969761144918
way/1098087457-380,16.28269545720473,40.520785103240016
way/1098527891-220,14.094071398474728,41.24323498496264
way/109993642-380,15.98594405647175,38.44214687210391
way/109997676-380,15.637926803314416,38.20323565997217
way/1100665914-380,16.804718069698314,39.02870998180088
way/110138220-220,15.282754794054384,38.18752093317158
way/110138220-380,15.283009796843295,38.187699591658586
way/110310021-380,16.36162549191583,38.93292599401015
way/110330925-380,16.21483403510264,39.71261001542813
way/1103579629-380,15.44464074150967,38.24743328800171
way/1105061707-220,7.282299486401616,46.97208656777328
way/1105061707-380,7.282568003868039,46.97228439816908
way/110660048-380,15.741323069274952,38.23671042179426
way/111020792-220,10.833346235288118,45.46725413127132
way/111162936-220,6.613906163011193,46.55735731270573
way/111162936-380,6.61415579941978,46.557199620285736
way/111162936-400,6.614228976183675,46.55742809413242
way/1117128898-380,15.00167189269068,37.43136074525875
way/1134655722-220,14.311875060879862,40.8415135598381
way/113568896-220,15.73367491462139,46.398306683516346
way/113568896-400,15.733970250953444,46.39848234674065
way/113570302-400,17.83630045117512,46.414574264094654
way/113578863-380,15.695605633231962,46.52190304219396
way/113578863-400,15.695901551709442,46.52207879211183
way/114659171-220,14.478387837098891,40.74488979776192
way/114661587-220,14.09739045711168,40.924334845775576
way/114661587-380,14.097653413495667,40.92451602920032
way/114931087-380,11.05203291983036,44.12199839866037
way/1155109902-220,9.62399123404973,44.4330876113363
way/1155116746-220,12.671709879782348,37.818344678260175
way/1158716725,12.806985991114674,41.42980383291617
way/1158716725-380,12.806917359340522,41.42904030788352
way/116517585-380,9.870107949592573,45.07053668474597
way/116518388-380,9.95693133426036,45.18340145973701
way/116519166-380,9.942755772771536,45.14787897338602
way/116692433-220,10.18387362136752,45.50787758654308
way/116697005-380,10.913160318488693,45.17798084420546
way/116797658-220,10.840505855040895,45.14837776932442
way/116797658-380,10.840778024405331,45.14856679572826
way/118987056-220,9.146785286382311,39.2972613838467
way/118987056-380,9.147027249337317,39.29745572599938
way/119244495-220,15.129580391680854,46.27592917646893
way/119244495-400,15.129873012733654,46.27610653860974
way/1203262444-220,9.130754307468637,45.436701702005
way/120356593-380,10.106462620510202,45.538090023637686
way/1204275778-220,9.15401491834428,45.39242723775505
way/1205235724-220,9.207547259976645,45.4723284596721
way/1208713169-220,9.420849814063352,46.59013674758357
way/120916823-220,12.197685324325615,42.99478464859902
way/121500497-225,6.835777617233261,43.5946976676419
way/121500497-400,6.836029074501875,43.59489695449954
way/122720993-220,7.125695387557911,46.76660397263626
way/123176540-220,9.873732706691095,47.07321264461928
way/124220303-220,14.771305650238002,40.692234761900025
way/126203383-380,16.22771865435065,41.21369999197973
way/129122541-220,14.52184877804528,45.28680687559485
way/129406824-220,12.237897197360107,45.4621984094249
way/130198336-220,8.58387184139076,46.66729077214159
way/131291789-380,10.508041553746136,45.4150003873265
way/131295368-220,11.50055510592524,45.51927223002737
way/1317893096-220,15.17202685059222,37.125476372815335
way/132455976-220,14.227783887303207,40.932523057399365
way/132637884-220,14.39396399500126,40.93463335881653
way/132638645-220,14.415095672987825,40.9324420506393
way/132643428-220,14.582558418877248,40.79253465975244
way/132645607-220,14.471185290988954,40.75538813351775
way/132701023-220,14.370725251369844,40.9677636303245
way/132701980-220,14.218635837032874,41.01181099389243
way/132701980-380,14.21889952695263,41.0119918321364
way/132702940-220,14.27884875309039,40.94892030983893
way/1327084723-220,8.595434381742702,46.35035364659204
way/132725149-220,14.159953118382283,40.83430999712171
way/132726160-220,14.10848689536534,40.83887421181607
way/133601335-220,9.506480607354272,45.51007285896088
way/133601335-380,9.506749946543636,45.51026526640189
way/135270825-220,9.186642211301429,45.43654403124239
way/136457747-220,13.394146088091064,43.21451463854357
way/136594238,9.44998474080447,42.52848560225742
way/136762727,8.713917011839937,40.652049127100376
way/136762727-220,8.712222199628764,40.65214361973088
way/136762727-380,8.712467917207473,40.65233877202543
way/136789074,10.694485729459018,43.05186024026141
way/137317951-220,9.168821287618725,45.5358525017832
way/138362793-220,14.613549486380368,46.09299718191955
way/138362793-400,14.61383935607974,46.09317599542553
way/139442467-220,11.46111340153196,44.483290739395926
way/139442467-380,11.461384412490224,44.48347824531044
way/139593701-225,7.007889363043802,43.58414560087649
way/139758444-220,11.380403064804495,44.25905174889276
way/139975773-380,11.150816371424863,43.76519334761294
way/140715391-220,11.230861600128287,43.7122175123443
way/140715391-380,11.23112820123774,43.71240573780181
way/140873735-220,8.667907027086885,46.770135591197366
way/141046481-220,8.63034254525952,39.89096040634136
way/143585004-380,12.508368664950725,44.01268132948646
way/144005861-220,8.916915467608167,39.38892873211016
way/144005863-380,8.622934604109723,40.5766010473867
way/144006711-220,9.000698895448032,40.2445038909576
way/144378054-220,11.807565652391398,43.44660021200692
way/145665799-220,17.977883705084018,40.64272249417884
way/145665799-380,17.978156457651163,40.64289305606743
way/146449309-225,6.712098438443547,45.21465086220046
way/146449309-400,6.712356523074227,45.214850255998286
way/146590045-225,7.187849358220757,43.7187556791173
way/146791061-380,16.726670419347652,41.07571115250006
way/146791215-380,16.734446062436042,41.0938859154728
way/147466201-220,10.986040091888936,46.06726849773145
way/147580976-225,6.924595995062093,45.5042684868416
way/148969091-380,10.966107470533087,44.61319577873429
way/149188707-220,11.78971736915648,45.67343304952748
way/149997403-380,12.232689812338029,44.45351635005554
way/151070909-220,11.245321918503016,46.29045265743338
way/151335166-220,11.063136097095777,46.32509502328221
way/152457216-220,11.056100201266648,46.564927710651446
way/152465478-220,11.337976465201406,46.47933690999251
way/152597636-380,9.296068629681796,45.74707141425274
way/153548074-220,10.915064467925514,46.62253457114315
way/153548156-220,10.918530057776236,46.551479442451736
way/153772895-220,10.708188890587394,46.61129571699695
way/155158689-380,12.142167392593263,45.050209030627926
way/155590373-380,15.753360808084487,38.25818645518132
way/155791516-380,10.905112126769383,45.2977625541443
way/155976563-220,12.319923956579071,45.87717052473777
way/155976582-220,12.329835360302742,46.06902392245031
way/156001963-220,10.773761602449603,45.45243054529526
way/156001981-220,10.756810811588412,45.46752252873483
way/157666416-220,12.677582744381937,42.570107236637305
way/157912118-380,15.5611978912356,38.22850031960228
way/158599954-220,10.07965803640053,44.04541582389989
way/158652469-220,13.70899639039798,42.58588127642258
way/158739183-380,12.265142054166128,44.48458465955778
way/159158469-220,15.138578052986292,37.11634249433215
way/159527493-220,8.173814346256965,46.82235691155356
way/159821869-220,12.302935787447204,46.201048186811526
way/161853746-220,7.152629759174438,46.94950332489576
way/161867064-220,11.729465452788718,45.91322596247108
way/162022271-220,15.903205816155046,43.75638875753232
way/162066055-220,10.761298730494495,45.42719408964269
way/162066058-220,10.904155311356496,45.43841983418363
way/162826525-220,12.805617108490251,46.82495219931811
way/162826525-380,12.805904839828166,46.825135819428674
way/162828577-220,8.746433975244907,45.51833275697086
way/162828577-380,8.74670068746783,45.518527085978576
way/162960205-220,9.438279442154432,45.33305225984863
way/162960205-380,9.438547684240657,45.33324486228698
way/163056522-220,9.88666060956351,46.17243041906866
way/163056526-220,9.877030999231714,46.268776377156094
way/163058980-220,10.553072899304455,45.17005670057512
way/163789376-220,9.923569390311016,46.16045375073248
way/163860997-400,15.754697507990151,44.20739602565296
way/163958919-220,9.256880344855158,45.4775653766993
way/163958920-220,9.13262926525682,45.47124775616931
way/166196787-220,9.597460343894934,45.63602263659047
way/167068843-220,14.484437511716983,46.10282915366863
way/170366194-220,16.41378481811703,45.45249240172426
way/171270810-380,15.475301397792093,41.20241837803127
way/172302572-380,12.623232607814796,41.55772987335283
way/172705586-220,13.283565125322166,38.12801141317943
way/173272584-220,14.925104123459262,44.942709369849865
way/180468540-220,13.67981228488562,46.54319159130831
way/181125039-220,11.593616339212472,44.85811449927622
way/181125039-380,11.593889622685587,44.858301602886726
way/182816228-225,6.724619270805545,45.91596854827719
way/185576620-220,17.21612491291415,40.51488540492055
way/189137043-220,10.686189995480534,45.70387744486011
way/189612607-380,9.05732847726924,45.54393959747434
way/194186027-220,15.305379215013025,38.20217138579272
way/194258388-220,7.111909524148566,46.611103814178406
way/199675964-380,16.657977692574374,38.8764858921052
way/199676823-380,16.616265215981258,38.99557962241419
way/202178573-220,14.36293723498606,40.80792766799168
way/202179060-220,14.356864956301605,40.83916571147289
way/202271565-380,9.514962855040435,45.14072218812976
way/202272734-220,11.63402044143956,45.43202926295041
way/202711181-220,14.496417182463956,40.94391119783727
way/202772821-220,10.122702836189143,46.14116700084045
way/203225567,8.306507186431089,40.84110865715793
way/203468251-220,9.253937187705391,45.54245203435514
way/205597560-220,10.713158641145158,45.400086349012405
way/207383904-220,14.225254008041963,40.85600808708
way/207991759-380,10.062555293517526,46.34885054673623
way/207993342-220,9.467101253739235,46.704671298611736
way/207993342-380,9.46737645038179,46.70486367263559
way/208398923-380,10.901445922051868,44.85103787856435
way/208780268-380,9.689655597943046,46.66943764831275
way/209324991-220,7.858662047182449,46.670304209093366
way/209982720-380,15.25647215853039,41.34248804776208
way/210568055-220,9.042798783564814,46.75131598306261
way/210568055-380,9.04307267917682,46.75150943150697
